sample_id,MAG_001,MAG_002,MAG_003,MAG_004,MAG_005,MAG_006,MAG_007,MAG_008,MAG_009,MAG_010,MAG_011,MAG_012,MAG_013,MAG_014,MAG_015,MAG_016,MAG_017,MAG_018,MAG_019,MAG_020,MAG_021,MAG_022,MAG_023,MAG_024,MAG_025,MAG_026,MAG_027,MAG_028,MAG_029,MAG_030,MAG_031,MAG_032,MAG_033,MAG_034,MAG_035,MAG_036,MAG_037,MAG_038,MAG_039,MAG_040
S001,6,5,0,5,6,3,7,4,9,10,9,12,9,15,22,12,12,19,23,21,30,10,30,23,42,29,22,37,53,19,21,13,33,47,31,63,75,44,75,77
S002,4,3,4,3,5,3,4,5,8,11,12,4,8,18,6,11,19,7,19,13,13,16,14,20,10,23,20,39,12,25,21,12,26,25,25,19,34,38,16,106
S003,8,7,1,4,6,7,8,13,4,5,6,17,17,23,23,8,15,31,25,17,13,11,20,28,33,21,44,23,22,77,54,51,55,30,62,47,41,119,60,41
S004,5,2,8,6,4,10,15,11,4,13,12,6,7,9,25,8,12,14,16,23,19,10,24,17,20,40,20,51,12,17,10,52,45,50,59,29,49,31,62,64
S005,4,5,5,9,6,3,4,5,4,15,6,17,9,6,8,22,10,12,10,27,7,17,11,26,16,30,14,26,32,36,20,50,20,17,38,53,103,26,86,70
S006,7,10,8,14,8,15,6,8,15,29,32,19,19,30,17,28,10,13,43,23,22,43,22,31,69,43,48,48,57,161,107,87,53,31,97,79,56,222,64,141
S007,0,6,7,1,4,5,5,13,7,10,5,5,4,14,10,12,16,4,9,22,14,7,14,13,24,28,17,18,23,28,42,68,31,17,21,56,20,95,48,64
S008,6,1,6,2,4,5,9,6,4,0,11,16,8,6,18,20,12,25,11,17,36,21,21,35,29,30,27,15,28,61,28,38,13,42,53,42,53,35,41,67
S009,5,3,2,5,2,4,4,18,3,9,4,8,15,9,6,17,16,5,7,27,11,16,24,30,22,24,71,34,29,32,26,20,53,62,50,64,49,50,75,90
S010,5,2,2,10,3,5,10,1,0,6,7,5,7,11,7,19,12,9,15,11,9,28,15,33,13,16,25,30,30,9,42,38,40,12,45,42,88,48,54,82
S011,7,2,5,3,4,7,5,7,9,5,4,6,4,7,16,11,11,6,10,16,19,18,9,9,42,13,33,29,42,11,26,30,27,53,38,57,40,49,61,51
S012,7,2,2,8,5,5,3,7,5,10,6,12,12,7,3,17,8,21,13,5,33,14,14,25,20,47,23,13,20,20,14,29,32,14,90,28,53,70,84,105
S013,13,1,11,3,8,2,13,7,5,8,18,5,6,25,6,21,9,11,13,20,14,7,11,31,17,30,28,25,20,65,37,42,43,42,48,35,66,52,66,90
S014,3,2,6,10,10,12,12,24,9,15,7,21,3,11,16,14,20,27,22,25,26,15,36,14,24,50,32,48,73,70,35,17,58,53,40,39,83,57,76,173
S015,2,5,18,2,8,10,11,7,4,12,6,10,13,12,15,19,12,22,41,29,19,29,36,30,28,31,23,26,21,22,54,122,52,38,78,108,26,51,191,98
S016,6,4,9,9,4,2,15,9,10,12,6,10,19,9,19,15,10,22,8,17,17,8,12,12,32,14,24,20,70,35,29,20,96,62,50,46,84,48,62,112
S017,3,4,5,6,3,7,10,11,19,5,4,8,11,17,20,9,22,24,16,32,20,13,19,8,32,37,35,54,24,24,39,17,46,39,51,57,96,46,140,112
S018,7,10,3,6,15,6,16,5,6,7,4,25,11,8,20,8,15,22,3,18,24,53,28,18,41,50,31,33,44,23,60,19,86,98,85,36,34,95,76,63
S019,12,7,5,4,14,1,3,10,20,14,16,9,5,6,13,17,15,9,25,31,24,41,22,31,52,36,47,45,75,36,51,68,75,81,21,33,62,106,92,118
S020,2,1,1,6,11,6,10,5,6,8,6,7,8,4,14,8,13,5,43,20,28,7,24,19,16,47,38,40,11,54,32,36,43,44,60,30,47,39,67,75
S021,10,5,10,13,6,8,8,9,11,5,22,13,34,16,34,22,16,17,11,17,42,22,21,41,33,34,74,21,28,40,42,47,34,71,64,62,36,69,119,62
S022,1,4,4,9,5,12,2,8,15,12,4,12,5,10,10,16,6,7,16,5,16,34,36,22,29,12,22,30,23,20,49,40,51,64,66,87,48,28,71,64
