sample_id,group,habitat_score,sex,library_size
S001,Wild,0.2906,female,16024
S002,Wild,0.1706,male,11525
S003,Wild,-0.446,female,18185
S004,Wild,0.4014,male,14001
S005,Wild,0.0016,female,14640
S006,Wild,-0.0256,male,27198
S007,Wild,0.3946,female,14211
S008,Wild,-0.2329,male,15408
S009,Wild,-0.3928,female,15738
S010,Wild,-0.014,male,13389
S011,Wild,0.5252,female,12593
S012,Wild,0.1522,male,14271
S013,Wild,-0.349,female,15611
S014,Wild,0.0214,male,20154
S015,Wild,0.2218,female,20416
S016,Wild,-0.2707,male,16109
S017,Wild,0.1571,female,17639
S018,Wild,0.1392,male,18727
S019,Wild,-0.6109,female,20875
S020,Wild,0.1976,male,14771
S021,Wild,0.3864,female,19748
S022,Wild,0.3434,male,13832
S023,Wild,0.0238,female,17851
S024,Wild,-0.427,male,18845
S025,Wild,-0.0561,female,14160
S026,Wild,-0.3791,male,19409
S027,Wild,0.3676,female,13069
S028,Wild,-0.217,male,14431
S029,Wild,0.1008,female,16419
S030,Wild,0.1055,male,14178
S031,Wild,0.4572,female,15387
S032,Wild,0.1076,male,12988
S033,Wild,-0.3758,female,11649
S034,Wild,-0.2053,male,17641
S035,Wild,-0.9949,female,13395
S036,Wild,4e-04,male,13574
S037,Wild,-0.2674,female,13637
S038,Wild,-0.0012,male,21204
S039,Wild,0.018,female,15580
S040,Wild,-0.2204,male,16353
S041,Wild,-0.065,female,22414
S042,Wild,0.0788,male,13904
S043,Wild,-0.0721,female,16632
S044,Wild,-0.326,male,9356
S045,Wild,0.1428,female,12648
S046,Wild,0.0736,male,17756
S047,Wild,-0.2941,female,21860
S048,Wild,0.1137,male,15980
S049,Wild,0.142,female,21223
S050,Wild,0.0481,male,15383
S051,Zoo_A,-0.0893,female,14248
S052,Zoo_A,0.1076,male,17987
S053,Zoo_A,-0.0399,female,13705
S054,Zoo_A,0.0362,male,19646
S055,Zoo_A,-0.3985,female,15681
S056,Zoo_A,0.4444,male,17393
S057,Zoo_A,-0.1814,female,18062
S058,Zoo_A,-0.3199,male,13253
S059,Zoo_A,-0.2622,female,21827
S060,Zoo_A,-0.0667,male,14706
S061,Zoo_A,-0.0977,female,14335
S062,Zoo_A,0.0172,male,14524
S063,Zoo_A,-0.6582,female,13195
S064,Zoo_A,-0.1737,male,15323
S065,Zoo_A,-0.1984,female,13705
S066,Zoo_A,-0.2799,male,11182
S067,Zoo_A,0.0531,female,21421
S068,Zoo_A,-0.4678,male,14400
S069,Zoo_A,-0.3018,female,17728
S070,Zoo_A,-0.2448,male,13810
S071,Zoo_A,-0.5442,female,17859
S072,Zoo_A,-0.2006,male,18543
S073,Zoo_A,-0.3145,female,16280
S074,Zoo_A,-0.0175,male,14526
S075,Zoo_A,1e-04,female,13219
S076,Zoo_B,0.2053,male,21445
S077,Zoo_B,-0.0523,female,11074
S078,Zoo_B,0.4475,male,13601
S079,Zoo_B,-0.0458,female,20782
S080,Zoo_B,0.4868,male,18913
S081,Zoo_B,-0.1933,female,16879
S082,Zoo_B,0.3227,male,17343
S083,Zoo_B,0.3396,female,14386
S084,Zoo_B,0.5481,male,13686
S085,Zoo_B,-0.2459,female,14618
S086,Zoo_B,0.3977,male,14079
S087,Zoo_B,0.26,female,17797
S088,Zoo_B,0.1591,male,16522
S089,Zoo_B,0.0439,female,13118
S090,Zoo_B,-0.0687,male,19873
S091,Zoo_B,0.4821,female,11853
S092,Zoo_B,-0.154,male,14436
S093,Zoo_B,0.2019,female,17270
S094,Zoo_B,0.3171,male,13981
S095,Zoo_B,0.0671,female,13818
S096,Zoo_B,0.0372,male,13127
S097,Zoo_B,0.5086,female,15010
S098,Zoo_B,0.5306,male,18136
S099,Zoo_B,0.7397,female,11136
S100,Zoo_B,-0.3036,male,10326
