feature_id,phylum,genus,oxygen_tolerance,metabolic_breadth,completeness_pct,contamination_pct,genome_size_bp
MAG_001,Bacillota,ExampleGenus_01,0.08,0.894,93.17,1.63,2368979
MAG_002,Bacteroidota,ExampleGenus_02,0.102,0.231,95.63,1.15,3580761
MAG_003,Pseudomonadota,ExampleGenus_03,0.125,0.514,96.22,0.16,2500007
MAG_004,Actinomycetota,ExampleGenus_04,0.147,0.435,98.27,3.27,4622735
MAG_005,Bacillota,ExampleGenus_05,0.169,0.244,92.1,0.87,3953691
MAG_006,Bacteroidota,ExampleGenus_06,0.192,0.979,99.79,0.32,5172839
MAG_007,Pseudomonadota,ExampleGenus_07,0.214,0.534,92.22,3.45,3567435
MAG_008,Actinomycetota,ExampleGenus_08,0.236,0.236,96.98,0.33,2189565
MAG_009,Bacillota,ExampleGenus_09,0.258,0.713,94.78,0.48,2176182
MAG_010,Bacteroidota,ExampleGenus_10,0.281,0.533,99.35,2.55,4615058
MAG_011,Pseudomonadota,ExampleGenus_01,0.303,0.177,98.01,1.64,3964164
MAG_012,Actinomycetota,ExampleGenus_02,0.325,0.168,93.42,2.79,2680979
MAG_013,Bacillota,ExampleGenus_03,0.348,0.714,94.39,2.46,4686544
MAG_014,Bacteroidota,ExampleGenus_04,0.37,0.486,93.72,0.32,5176283
MAG_015,Pseudomonadota,ExampleGenus_05,0.392,0.943,93.46,3.11,1936160
MAG_016,Actinomycetota,ExampleGenus_06,0.415,0.555,97.54,2.67,2859507
MAG_017,Bacillota,ExampleGenus_07,0.437,0.401,94.55,2.96,5227999
MAG_018,Bacteroidota,ExampleGenus_08,0.459,0.359,95.13,1.84,1948878
MAG_019,Pseudomonadota,ExampleGenus_09,0.482,0.505,98.66,3.1,3880848
MAG_020,Actinomycetota,ExampleGenus_10,0.504,0.241,99.7,2.15,3957909
MAG_021,Bacillota,ExampleGenus_01,0.526,0.68,91.82,0.89,5053300
MAG_022,Bacteroidota,ExampleGenus_02,0.548,0.589,91.21,1.24,4737870
MAG_023,Pseudomonadota,ExampleGenus_03,0.571,0.964,94.59,2.67,4019624
MAG_024,Actinomycetota,ExampleGenus_04,0.593,0.447,99.33,0.58,4446639
MAG_025,Bacillota,ExampleGenus_05,0.615,0.222,94.08,3.52,4495458
MAG_026,Bacteroidota,ExampleGenus_06,0.638,0.209,98.71,0.72,4461960
MAG_027,Pseudomonadota,ExampleGenus_07,0.66,0.553,93.86,1.11,5024345
MAG_028,Actinomycetota,ExampleGenus_08,0.682,0.515,93.17,1.71,3478838
MAG_029,Bacillota,ExampleGenus_09,0.705,0.367,98.31,0.25,3761169
MAG_030,Bacteroidota,ExampleGenus_10,0.727,0.312,96.71,3.29,4058038
MAG_031,Pseudomonadota,ExampleGenus_01,0.749,0.745,99.37,1.44,2604754
MAG_032,Actinomycetota,ExampleGenus_02,0.772,0.159,91.73,1.25,3642292
MAG_033,Bacillota,ExampleGenus_03,0.794,0.55,98.09,2.38,2693387
MAG_034,Bacteroidota,ExampleGenus_04,0.816,0.371,93.85,3.75,2004889
MAG_035,Pseudomonadota,ExampleGenus_05,0.838,0.951,96.41,3.01,5073441
MAG_036,Actinomycetota,ExampleGenus_06,0.861,0.618,93.34,1.32,1515858
MAG_037,Bacillota,ExampleGenus_07,0.883,0.547,98.95,1.55,2234171
MAG_038,Bacteroidota,ExampleGenus_08,0.905,0.688,97.23,1.37,4047347
MAG_039,Pseudomonadota,ExampleGenus_09,0.928,0.77,92.46,0.79,2655786
MAG_040,Actinomycetota,ExampleGenus_10,0.95,0.2,96.84,2.09,3278859
